1;4;Carrie Fisher;10/21/1956;1;Acting
2;14;Ellen DeGeneres;01/26/1958;1;Acting
3;19;Allison Janney;11/19/1959;1;Acting
4;20;Elizabeth Perkins;11/18/1960;1;Acting
5;28;Wendy Finerman;8.02.1961;1;Production
6;32;Robin Wright;4.08.1966;1;Acting
7;35;Sally Field;11.06.1946;1;Acting
8;47;Bj?rk;11/21/1965;1;Acting
9;49;Maria Bello;04/18/1967;1;Acting
10;50;Catherine Deneuve;10/22/1943;1;Acting
11;55;Abigail Stone;6.02.1992;1;Acting
12;56;Sophie Stuckey;NULL;1;Acting
13;63;Milla Jovovich;12/17/1975;1;Acting
14;75;Brigitte Helm;03/17/1906;1;Acting
15;90;Isabel Coixet;4.09.1960;1;Directing
16;93;Esther Garc?a;NULL;1;Production
17;95;Gaston Georis;NULL;0;Sound
18;96;Gordon McLennan;NULL;0;Production
19;97;Nanci Kincaid;NULL;0;Writing
20;98;Sarah Polley;1.08.1979;1;Acting
21;99;Amanda Plummer;03/23/1957;1;Acting
22;101;Leonor Watling;07/28/1975;1;Acting
23;102;Debbie Harry;7.01.1945;1;Acting
24;105;Lisa Robison;NULL;1;Editing
25;106;Alfonso Vilallonga;NULL;0;Sound
26;112;Cate Blanchett;05/14/1969;1;Acting
27;116;Keira Knightley;03/26/1985;1;Acting
28;126;Fran Walsh;1.10.1959;1;Writing
29;128;Philippa Boyens;NULL;1;Writing
30;139;Uma Thurman;04/29/1970;1;Acting
31;140;Lucy Liu;12.02.1968;1;Acting
32;156;Sally Menke;12/17/1953;1;Editing
33;157;Thea von Harbou;1888-12-19;1;Writing
34;159;Ivri Lider;NULL;0;Sound
35;161;Amir Harel;NULL;0;Production
36;162;Gal Uchovsky;NULL;0;Writing
37;163;Yosef Grunfeld;NULL;0;Editing
38;166;Caroline Peters;9.07.1971;1;Acting
39;168;Carola Regnier;4.02.1943;1;Acting
40;171;Tobias Hochstein;NULL;0;Camera
41;177;Margo Stilley;11/20/1982;1;Acting
42;186;Yoko Kanno;03/18/1964;1;Sound
43;199;Julie Kavner;9.07.1950;1;Acting
44;200;Nancy Cartwright;10/25/1957;1;Acting
45;204;Kate Winslet;10.05.1975;1;Acting
46;205;Kirsten Dunst;04/30/1982;1;Acting
47;208;Ryan Whitney;NULL;0;Acting
48;209;Jane Adams;4.01.1965;1;Acting
49;211;Debbon Ayer;NULL;1;Acting
50;214;Brian Price;NULL;0;Acting
51;220;Lola Daehler;NULL;0;Acting
52;221;Lauren Adler;NULL;1;Acting
53;222;Pierre Bismuth;NULL;0;Writing
54;226;Heidi Hayes;NULL;1;Acting
55;233;Sumela Kay;07/25/1986;1;Acting
56;235;Deborah Drakeford;NULL;0;Acting
57;250;Margaret Tyzack;9.09.1931;1;Acting
58;254;H.L. Bird;6.09.1909;0;Sound
59;255;Winston Ryder;NULL;0;Sound
60;257;Victor Lyndon;12/19/1918;0;Production
61;259;Vanessa Bauche;02/18/1973;1;Acting
62;261;Goya Toledo;09/24/1969;1;Acting
63;265;Rodrigo Murray;NULL;0;Acting
64;268;Rosa Mar?a Bianchi;02/18/1948;1;Acting
65;269;Dunia Sald?var;11/20/1942;1;Acting
66;270;Adriana Barraza;3.05.1956;1;Acting
67;272;Lourdes Echevarr?a;NULL;1;Acting
68;279;Antonio Vega;NULL;0;Acting
69;281;Janet Peoples;NULL;1;Writing
70;282;Charles Roven;8.02.1949;0;Production
71;289;Madeleine Stowe;08/18/1958;1;Acting
72;292;Frederick Strother;NULL;0;Acting
73;295;Imogen Pollard;NULL;0;Sound
74;297;Jay Meagher;NULL;0;Sound
75;313;Ellen Kuras;7.10.1959;1;Camera
76;326;Kim Basinger;12.08.1953;1;Acting
77;328;Brittany Murphy;11.10.1977;1;Acting
78;329;Carol Fenelon;NULL;1;Production
79;338;Obie Trice;NULL;0;Acting
80;343;Taryn Manning;11.06.1978;1;Acting
81;344;Larry Hudson;NULL;0;Acting
82;345;DJ Head;NULL;0;Acting
83;350;Laura Linney;2.05.1964;1;Acting
84;351;Judy Davis;04/23/1955;1;Acting
85;368;Reese Witherspoon;03/22/1976;1;Acting
86;370;Jack G. Taylor Jr.;NULL;0;Art
87;375;Bub Asman;NULL;0;Sound
88;379;Donald Harris;NULL;0;Sound
89;381;Katherine Helmond;7.05.1929;1;Acting
90;387;Kim Greist;5.12.1958;1;Acting
91;389;Alison Eastwood;05/22/1972;1;Acting
92;390;Irene Lamb;NULL;1;Production
93;393;Rodney Glenn;NULL;0;Sound
94;394;Bob Doyle;NULL;0;Crew
95;398;Rosario Flores;11.04.1963;1;Acting
96;399;Mariola Fuentes;8.12.1970;1;Acting
97;400;Geraldine Chaplin;07/31/1944;1;Acting
98;402;Pina Bausch;07/27/1940;1;Acting
99;404;Melora Hardin;06/29/1967;1;Acting
100;409;Cathy Konrad;NULL;1;Production
101;417;Ginnifer Goodwin;05/22/1978;1;Acting
102;423;Phyllis Huffman;06/23/1944;1;Production
103;427;Sandra Ellis Lafferty;8.02.1940;1;Acting
104;430;Hailey Anne Nelson;09/14/1994;1;Acting
105;431;Victoria Hester;NULL;1;Acting
106;434;Lisa Beach;NULL;1;Production
107;435;Shirley Fulton Crumley;NULL;1;Acting
108;436;Sarah Katzman;NULL;1;Production
109;448;Hilary Swank;07/30/1974;1;Acting
110;451;Lucia Rijker;12.07.1967;1;Acting
111;452;Margo Martindale;07/18/1951;1;Acting
112;453;Riki Lindhome;3.05.1979;1;Acting
113;459;David Potaux-Razel;NULL;0;Sound
114;461;Deborah Hopper;NULL;1;Costume  MakeUp
115;465;Tessa Ross;1.01.1961;1;Production
116;467;Natascha Wharton;NULL;0;Production
117;471;Maria Djurkovic;NULL;1;Art
118;472;Mark Holding;NULL;0;Sound
119;474;Jina Jay;NULL;1;Production
120;475;Tatiana Lund;NULL;0;Art
121;477;Julie Walters;02/22/1950;1;Acting
122;481;Jean Heywood;07/15/1921;1;Acting
123;483;Nicola Blackwell;NULL;0;Acting
124;487;Janine Birkett;NULL;0;Acting
125;489;Kathleen Kennedy;6.05.1953;1;Production
126;494;Terri Taylor;NULL;1;Production
127;495;Debra Zane;NULL;1;Production
128;497;Doug J. Meerdink;NULL;0;Art
129;498;Joanna Johnston;NULL;1;Costume  MakeUp
130;499;Cari Finken;NULL;0;Crew
131;501;Dakota Fanning;02/23/1994;1;Acting
132;502;Miranda Otto;12/16/1967;1;Acting
133;505;Camillia Sanes;NULL;1;Acting
134;512;Laurie Parker;NULL;1;Production
135;513;Jonathan Gems;NULL;0;Writing
136;515;Glenn Close;03/19/1947;1;Acting
137;516;Annette Bening;05/29/1958;1;Acting
138;520;Sarah Jessica Parker;03/25/1965;1;Acting
139;524;Natalie Portman;6.09.1981;1;Acting
140;528;Sylvia Sidney;8.09.1910;1;Acting
141;530;Carrie-Anne Moss;08/21/1967;1;Acting
142;533;Victor Herbert;NULL;0;Writing
143;536;Jorja Fox;7.07.1968;1;Acting
144;538;Harriet Sansom Harris;1.08.1955;1;Acting
145;542;Kimberly Campbell;NULL;1;Acting
146;543;Marianne Muellerleile;11/26/1948;1;Acting
147;546;Jeanne McCarthy;NULL;1;Production
148;547;Victoria Thomas;NULL;1;Production
149;550;Jennifer Todd;10.03.1969;1;Production
150;551;Suzanne Todd;NULL;1;Production
151;552;Elaine Dysinger;NULL;1;Production
